date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2019-09-26,32.64,31.14,33.3,30.58,36656,162927520.0,8.37,-4.18,-1.36,5.2
2019-09-27,31.65,32.29,33.09,31.15,32933,148799186.0,6.23,3.69,1.15,4.67
2019-09-30,32.29,30.89,32.36,30.14,18977,82896670.0,6.88,-4.34,-1.4,2.69
2019-10-08,31.33,30.39,31.44,29.25,17187,73443952.0,7.09,-1.62,-0.5,2.44
2019-10-09,30.21,30.31,30.55,29.38,16958,71613334.0,3.85,-0.26,-0.08,2.4
2019-10-10,30.36,29.98,30.74,29.32,24230,101984704.0,4.68,-1.09,-0.33,3.44
2019-10-11,30.01,31.66,32.99,29.82,39819,177668961.0,10.57,5.6,1.68,5.65
2019-10-14,32.44,32.05,32.64,31.59,20287,91758661.0,3.32,1.23,0.39,2.88
2019-10-15,32.17,33.09,33.91,31.91,21421,98993613.0,6.24,3.24,1.04,3.04
2019-10-16,32.76,32.14,33.15,31.26,21043,95646931.0,5.71,-2.87,-0.95,2.98
2019-10-17,32.23,33.25,34.68,32.19,36647,172360097.0,7.75,3.45,1.11,5.2
2019-10-18,33.01,32.21,33.96,31.73,27137,125419762.0,6.71,-3.13,-1.04,3.85
2019-10-21,31.7,29.97,32.96,29.83,25035,108318042.0,9.72,-6.95,-2.24,3.55
2019-10-22,30.79,32.71,32.89,30.4,50398,228736255.0,8.31,9.14,2.74,7.15
2019-10-23,32.95,32.45,33.74,32.11,29893,138069380.0,4.98,-0.79,-0.26,4.24
2019-10-24,32.48,31.75,33.32,31.39,20978,94629959.0,5.95,-2.16,-0.7,2.97
2019-10-25,32.01,31.99,32.31,31.28,16847,75578098.0,3.24,0.76,0.24,2.39
2019-10-28,32.11,31.86,33.39,30.71,25002,111839208.0,8.38,-0.41,-0.13,3.54
2019-10-29,31.86,30.66,31.96,30.46,21418,93171361.0,4.71,-3.77,-1.2,3.04
2019-10-30,30.96,30.48,31.11,30.04,14714,63417323.0,3.49,-0.59,-0.18,2.09
2019-10-31,30.89,30.25,31.01,29.98,16372,70322148.0,3.38,-0.75,-0.23,2.32
2019-11-01,30.32,31.7,31.81,29.59,26600,116084316.0,7.34,4.79,1.45,3.77
2019-11-04,31.21,30.19,31.38,29.59,46476,196936862.0,5.65,-4.76,-1.51,6.59
2019-11-05,30.46,28.04,30.46,27.31,69725,279304304.0,10.43,-7.12,-2.15,9.89
2019-11-06,27.74,28.43,29.32,27.74,30858,124696945.0,5.63,1.39,0.39,4.37
2019-11-07,27.82,28.11,28.91,27.82,20659,82392443.0,3.83,-1.13,-0.32,2.93
2019-11-08,28.39,28.29,29.09,28.2,21518,86673020.0,3.17,0.64,0.18,3.05
2019-11-11,28.23,28.36,28.89,27.57,26039,104024024.0,4.67,0.25,0.07,3.69
2019-11-12,28.36,28.68,28.88,27.45,22865,90607918.0,5.04,1.13,0.32,3.24
2019-11-13,28.22,30.34,30.37,28.21,33149,138324716.0,7.53,5.79,1.66,4.7
2019-11-14,30.04,31.21,31.79,29.63,30521,132880268.0,7.12,2.87,0.87,4.33
2019-11-15,31.18,31.18,32.29,30.84,17221,75667920.0,4.65,-0.1,-0.03,2.44
2019-11-18,31.6,32.43,32.86,31.04,32203,146203094.0,5.84,4.01,1.25,4.57
2019-11-19,31.98,32.04,32.31,31.5,19107,85435269.0,2.5,-1.2,-0.39,2.71
2019-11-20,31.83,31.04,31.96,30.54,25248,110179412.0,4.43,-3.12,-1.0,3.58
2019-11-21,31.14,31.14,31.56,30.71,17662,77416725.0,2.74,0.32,0.1,2.5
2019-11-22,31.36,30.38,31.36,29.68,24993,106769584.0,5.39,-2.44,-0.76,3.54
2019-11-25,30.37,28.75,30.37,28.29,24613,100155900.0,6.85,-5.37,-1.63,3.49
2019-11-26,28.94,28.95,29.74,28.56,13650,56103281.0,4.1,0.7,0.2,1.94
2019-11-27,28.89,29.36,29.96,28.71,14954,62045218.0,4.32,1.42,0.41,2.12
2019-11-28,29.52,29.11,30.02,28.46,11097,45748980.0,5.31,-0.85,-0.25,1.57
2019-11-29,29.11,29.34,29.75,28.9,10709,44353932.0,2.92,0.79,0.23,1.52
